year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,4,5,1731,1,1958,-30,UA,N73406,1743,EWR,IAH,177,1400,17,31
2013,1,10,626,-4,900,-5,WN,N233LV,135,LGA,DEN,249,1620,6,26
2013,6,14,1156,-3,1359,15,MQ,N805MQ,3404,LGA,RDU,68,431,11,56
2013,7,23,1248,48,1422,49,UA,N820UA,255,LGA,ORD,108,733,12,48
2013,6,27,1811,49,2109,56,UA,N34137,1109,EWR,MCO,140,937,18,11
2013,10,29,653,-7,758,-11,US,N753US,2169,LGA,DCA,46,214,6,53
2013,6,17,1811,11,1917,2,US,N751UW,2185,LGA,DCA,39,214,18,11
2013,1,14,951,-9,1100,-8,US,N952UW,2122,LGA,BOS,38,184,9,51
2013,5,30,2132,3,2359,-27,UA,N13248,1692,EWR,MCO,126,937,21,32
2013,12,19,841,15,1106,8,EV,N11109,4419,EWR,XNA,175,1131,8,41
2013,3,29,2002,-3,2055,-14,EV,N11565,4566,EWR,ALB,32,143,20,2
2013,4,14,1457,-2,1726,-11,DL,N688DL,2347,LGA,ATL,120,762,14,57
2013,12,27,1804,34,2056,6,AA,N3DGAA,1185,LGA,DFW,203,1389,18,4
2013,12,14,3,4,459,22,B6,N606JB,839,JFK,BQN,196,1576,0,3
2013,3,1,1251,1,1439,-56,WN,N786SW,564,LGA,DEN,212,1620,12,51
2013,3,25,1555,-5,1722,10,US,N963UW,2134,LGA,BOS,43,184,15,55
2013,1,20,1439,-1,1536,-13,UA,N77258,1687,EWR,BOS,36,200,14,39
2013,4,13,1635,-5,1836,-7,EV,N197PQ,4997,EWR,DTW,94,488,16,35
2013,4,25,1056,6,1446,46,DL,N966DL,1903,LGA,SRQ,158,1047,10,56
2013,12,19,549,-2,924,24,UA,N538UA,274,EWR,LAX,352,2454,5,49
2013,8,15,623,-7,826,-10,EV,N12142,4535,EWR,MSP,144,1008,6,23
2013,12,23,1019,19,1321,0,UA,N12218,1626,EWR,SAN,340,2425,10,19
2013,12,11,1823,8,2027,22,MQ,N3AEMQ,2839,LGA,STL,156,888,18,23
2013,2,17,1731,1,1936,-2,EV,N14959,4350,EWR,CVG,95,569,17,31
2013,8,3,1103,3,1331,-17,DL,N937DL,695,JFK,MCO,124,944,11,3
2013,7,11,1607,17,1905,20,AA,N3FXAA,763,LGA,DFW,208,1389,16,7
2013,9,25,1434,-8,1631,-7,EV,N748EV,4949,LGA,GSO,73,461,14,34
2013,3,16,1517,32,1656,41,WN,N414WN,1560,LGA,MDW,130,725,15,17
2013,9,20,1533,13,1818,4,UA,N14107,1600,EWR,LAX,324,2454,15,33
2013,9,21,653,-6,932,-17,UA,N558UA,332,EWR,LAX,315,2454,6,53
2013,1,18,855,56,1016,67,EV,N14959,4457,EWR,MHT,40,209,8,55
2013,10,24,852,-8,1007,-18,US,N757UW,2173,LGA,DCA,46,214,8,52
2013,7,15,933,33,1148,6,B6,N652JB,189,JFK,SAN,285,2446,9,33
2013,9,18,625,-5,815,-25,US,N198UW,2085,LGA,CLT,86,544,6,25
2013,7,23,1941,2,2233,-1,UA,N78438,1555,EWR,SAN,325,2425,19,41
2013,7,20,1912,-3,2232,2,AA,N336AA,21,JFK,LAX,298,2475,19,12
2013,10,29,656,-4,1104,13,B6,N618JB,3,JFK,SJU,207,1598,6,56
2013,6,16,2115,16,2253,12,EV,N14977,4335,EWR,CLE,67,404,21,15
2013,1,24,1609,19,2116,26,AA,N5CPAA,1635,JFK,SJU,190,1598,16,9
2013,1,4,1118,-12,1350,-55,UA,N512UA,703,JFK,LAX,309,2475,11,18
2013,2,18,1049,9,1334,-11,UA,N507UA,225,EWR,LAX,327,2454,10,49
2013,4,1,1438,-7,1641,-4,US,N558UW,1445,LGA,CLT,101,544,14,38
2013,1,11,1849,-6,2218,-27,VX,N632VA,29,JFK,SFO,368,2586,18,49
2013,5,30,1756,1,2051,-29,AA,N3KJAA,1611,LGA,MIA,142,1096,17,56
2013,10,16,1507,-8,1808,-2,AA,N575AA,320,EWR,DFW,207,1372,15,7
2013,9,27,1458,-2,1809,-10,DL,N175DZ,161,JFK,SEA,317,2422,14,58
2013,6,14,654,-6,813,-20,UA,N485UA,331,LGA,ORD,112,733,6,54
2013,7,29,1501,36,1737,72,EV,N760EV,4949,LGA,GSO,66,461,15,1
2013,1,25,1333,3,1614,-3,B6,N265JB,525,EWR,MCO,141,937,13,33
2013,12,2,1247,3,1435,-11,9E,N932XJ,3342,EWR,DTW,89,488,12,47
2013,10,27,1940,10,2227,-23,DL,N3750D,795,JFK,SLC,270,1990,19,40
2013,12,16,1437,8,1613,-10,9E,N916XJ,3527,LGA,RDU,75,431,14,37
2013,7,21,2231,121,2332,96,9E,N8488D,4218,JFK,PHL,25,94,22,31
2013,1,27,826,-9,1046,-19,MQ,N526MQ,4610,LGA,ATL,115,762,8,26
2013,7,15,535,-5,819,-21,AA,N5DHAA,701,JFK,MIA,139,1089,5,35
2013,4,26,1733,4,2043,21,UA,N426UA,347,EWR,IAH,205,1400,17,33
2013,12,25,1448,-2,1634,-16,MQ,N534MQ,3199,LGA,CLT,89,544,14,48
2013,2,5,1729,-6,1841,-13,B6,N599JB,74,JFK,BTV,44,266,17,29
2013,3,20,628,6,925,-2,UA,N78524,1072,LGA,IAH,222,1416,6,28
2013,11,9,705,-5,835,-10,AA,N4YFAA,305,LGA,ORD,132,733,7,5
2013,4,12,1446,-4,1646,19,9E,N8495B,4357,JFK,ORF,56,290,14,46
2013,6,10,902,-7,1111,-11,EV,N740EV,4952,LGA,CLT,85,544,9,2
2013,6,12,1816,81,2113,68,VX,N630VA,413,JFK,LAX,322,2475,18,16
2013,3,10,924,-5,1119,-18,EV,N14977,4161,EWR,CLT,80,529,9,24
2013,9,14,2116,-8,2304,-33,EV,N14542,3807,EWR,SDF,92,642,21,16
2013,12,26,824,-3,1026,-5,US,N563UW,1831,JFK,CLT,97,541,8,24
2013,2,8,703,3,1031,35,B6,N779JB,203,JFK,LAS,315,2248,7,3
2013,2,10,1719,-1,1853,-12,MQ,N713MQ,4479,LGA,RDU,65,431,17,19
2013,6,28,1357,0,1628,-1,UA,N841UA,755,EWR,DFW,190,1372,13,57
2013,2,6,1825,-4,2043,11,US,N173US,1973,EWR,CLT,84,529,18,25
2013,7,10,1610,70,1918,146,US,N186US,802,EWR,CLT,76,529,16,10
2013,6,4,1911,1,2212,-28,AA,N328AA,21,JFK,LAX,327,2475,19,11
2013,7,28,1949,147,2137,170,EV,N29917,4187,EWR,BNA,116,748,19,49
2013,3,3,1757,-3,1905,-8,US,N762US,2185,LGA,DCA,41,214,17,57
2013,3,25,1306,6,1415,9,B6,N283JB,1006,JFK,BOS,35,187,13,6
2013,4,25,814,-1,1122,7,DL,N301DQ,1167,JFK,TPA,149,1005,8,14
2013,3,24,2002,87,2214,90,DL,N331NW,2019,LGA,MSP,153,1020,20,2
2013,1,4,1706,16,1836,-4,WN,N7738A,2773,EWR,STL,132,872,17,6
2013,4,26,2354,-5,320,-19,B6,N789JB,727,JFK,BQN,186,1576,23,54
2013,9,19,2101,-7,2255,-33,B6,N318JB,775,JFK,MSY,146,1182,21,1
2013,1,19,1957,-3,2250,-22,B6,N763JB,801,JFK,FLL,156,1069,19,57
2013,4,8,548,8,847,7,AA,N635AA,701,JFK,MIA,149,1089,5,48
2013,5,31,1543,3,1849,-6,UA,N17122,1601,JFK,LAX,338,2475,15,43
2013,1,26,1101,92,1536,69,B6,N510JB,215,EWR,SJU,196,1608,11,1
2013,11,1,1423,8,1651,15,DL,N326US,673,EWR,ATL,120,746,14,23
2013,10,15,2025,-4,2324,-13,UA,N76288,1039,EWR,AUS,215,1504,20,25
2013,11,21,2153,-6,2253,-14,9E,N272PQ,3525,LGA,SYR,38,198,21,53
2013,12,11,757,-2,1041,14,EV,N27152,4364,EWR,MCI,201,1092,7,57
2013,8,5,1059,4,1401,14,DL,N373DA,1275,JFK,SLC,277,1990,10,59
2013,9,20,756,-4,1018,-32,DL,N3740C,1959,JFK,MCO,117,944,7,56
2013,2,21,2208,18,114,32,B6,N809JB,325,JFK,TPA,147,1005,22,8
2013,5,2,705,0,1008,-3,DL,N326US,1879,LGA,FLL,158,1076,7,5
2013,1,1,1030,-5,1229,-17,EV,N11189,4277,EWR,CHS,100,628,10,30
2013,6,6,650,-5,805,-10,WN,N912WN,428,LGA,MKE,118,738,6,50
2013,1,29,559,-1,748,18,WN,N8322X,3223,LGA,MDW,149,725,5,59
2013,6,14,653,-6,1008,17,B6,N712JB,49,JFK,PBI,152,1028,6,53
2013,5,19,921,3,1207,3,B6,N536JB,183,JFK,MCO,128,944,9,21
2013,3,29,2246,16,222,10,B6,N537JB,713,JFK,SJU,198,1598,22,46
2013,3,27,752,-3,1053,-17,AA,N3EGAA,2267,LGA,MIA,159,1096,7,52
2013,12,22,538,-2,831,-19,AA,N5EMAA,2243,JFK,MIA,154,1089,5,38
2013,3,28,1428,-2,1720,-9,UA,N507UA,975,LGA,IAH,205,1416,14,28
2013,11,30,1201,1,1512,-4,UA,N16709,1496,EWR,SNA,354,2434,12,1
2013,10,31,655,-5,935,-5,DL,N972DL,1547,LGA,ATL,119,762,6,55
2013,4,22,905,0,1308,52,UA,N73278,1170,EWR,FLL,187,1065,9,5
2013,4,1,1734,-4,1919,-7,B6,N206JB,1185,JFK,RDU,77,427,17,34
2013,3,15,634,4,750,1,EV,N13914,4533,EWR,BUF,57,282,6,34
2013,5,24,1857,42,2233,58,DL,N371NW,1433,JFK,MIA,150,1089,18,57
2013,11,14,1257,-3,1543,21,DL,N342NW,2043,JFK,ATL,106,760,12,57
2013,8,7,1301,16,1413,9,EV,N760EV,5132,LGA,SYR,37,198,13,1
2013,7,10,2246,147,148,136,UA,N37287,1680,EWR,MIA,146,1085,22,46
2013,10,6,1734,-8,1936,-4,EV,N15983,4382,EWR,DTW,82,488,17,34
2013,1,30,1301,2,1428,-8,UA,N67134,1249,EWR,ORD,126,719,13,1
2013,10,16,907,-5,1018,-7,B6,N309JB,208,JFK,PWM,44,273,9,7
2013,12,22,1423,43,1745,30,WN,N769SW,1835,EWR,PHX,304,2133,14,23
2013,3,11,1649,14,1810,0,MQ,N520MQ,3695,EWR,ORD,116,719,16,49
2013,12,3,1359,5,1652,6,UA,N38424,1571,EWR,PBI,154,1023,13,59
2013,7,23,2023,18,2237,48,B6,N587JB,105,JFK,ORD,118,740,20,23
2013,2,25,1630,-5,1812,-31,EV,N758EV,4900,EWR,DTW,84,488,16,30
2013,4,29,1815,46,2111,27,AA,N3DWAA,1999,EWR,MIA,140,1085,18,15
2013,8,6,1709,6,1854,-17,US,N170US,894,LGA,CLT,80,544,17,9
2013,1,28,2030,5,2313,-18,UA,N474UA,299,EWR,DFW,200,1372,20,30
2013,10,14,2248,-7,6,-3,B6,N351JB,486,JFK,ROC,46,264,22,48
2013,11,5,949,-11,1153,17,UA,N497UA,673,LGA,ORD,122,733,9,49
2013,11,20,1902,33,2130,46,EV,N371CA,5268,LGA,CLT,82,544,19,2
2013,7,16,1029,0,1200,-39,US,N544UW,196,JFK,PHX,248,2153,10,29
2013,5,5,912,18,1131,9,EV,N14542,4388,EWR,JAX,120,820,9,12
2013,7,7,1627,23,1827,39,EV,N738EV,5432,LGA,BNA,110,764,16,27
2013,11,19,824,-6,1053,-7,F9,N216FR,509,LGA,DEN,230,1620,8,24
2013,6,9,1906,-3,2227,-8,B6,N591JB,87,JFK,SLC,275,1990,19,6
2013,11,4,929,-1,1223,2,B6,N607JB,199,LGA,MCO,125,950,9,29
2013,11,2,1928,-2,2217,-16,B6,N580JB,1271,LGA,FLL,152,1076,19,28
2013,1,11,1439,-1,1724,-28,UA,N73291,1175,EWR,RSW,151,1068,14,39
2013,3,2,1705,20,1834,-1,WN,N794SW,1923,EWR,STL,123,872,17,5
2013,12,3,1955,-5,2049,-26,US,N957UW,2162,LGA,BOS,36,184,19,55
2013,8,29,1729,-6,1938,-6,EV,N14916,6065,EWR,IND,93,645,17,29
2013,11,7,1155,-5,1402,3,US,N128UW,2069,JFK,CLT,105,541,11,55
2013,8,11,1436,2,1634,20,EV,N15572,4596,EWR,STL,140,872,14,36
2013,2,14,1851,-4,2048,-12,US,N172US,1491,LGA,CLT,94,544,18,51
2013,3,1,1342,17,1609,-41,VX,N641VA,411,JFK,LAX,314,2475,13,42
2013,6,24,1844,113,2056,116,DL,N319NB,1473,LGA,MEM,125,963,18,44
2013,6,22,1610,-5,1733,-21,EV,N12163,4583,EWR,PWM,49,284,16,10
2013,12,20,1559,90,1817,94,EV,N614QX,4978,LGA,CLT,91,544,15,59
2013,4,13,1158,-2,1408,-7,UA,N421UA,560,EWR,DEN,223,1605,11,58
2013,7,1,1314,99,1641,113,DL,N907DL,2215,LGA,FLL,176,1076,13,14
2013,9,27,554,-6,705,-11,EV,N909EV,5716,JFK,IAD,47,228,5,54
